namespace,key,label::fr,label::en,label_one::fr,label_one::en
visitedPlaces,nextPlaceRadioChoices.stayedThereUntilTheNextDay,Rest{{gender:é/ée/é(e)/é(e)}} à cet endroit jusqu'au lendemain,Stayed at this place until the next day,,
visitedPlaces,nextPlaceRadioChoices.visitedAnotherPlace,All{{gender:é/ée/é(e)/é(e)}} ou arrêt{{gender:é/ée/é(e)/é(e)}} à un autre endroit,Went or stopped elsewhere,,
visitedPlaces,nextPlaceRadioChoices.wentBackHome,Retourn{{gender:é/ée/é(e)/é(e)}} au domicile directement ({{address}}),Returned home directly ({{address}}),,
tripsIntro,personDidTripsConfirmChoiceNo,{{nickname}} n'a effectué aucun déplacement le {{assignedDate}},{{nickname}} did not make any trip on {{assignedDate}},Je n'ai effectué aucun déplacement le {{assignedDate}},I did not make any trip on {{assignedDate}}
tripsIntro,personDidTripsConfirmChoiceYes,{{nickname}} a effectué au moins un déplacement le {{assignedDate}},{{nickname}} did make at least one trip on {{assignedDate}},J'ai effectué au moins un déplacement le {{assignedDate}},I did make at least one trip on {{assignedDate}}
end,errors.inputRangeMustBePositiveOrZero,Veuillez placer le bouton à l'intérieur de la plage de réponse.,Make sure your slider button is inside the range.,,
segments,mode.Walk,**Marche**,**Walking**,,
segments,mode.Bicycle,**Vélo**,**Bicycle**,,
segments,mode.BicycleElectric,**Vélo électrique**,**E-Bike** (electric bicycle),,
segments,mode.KickScooterElectric,**Trottinette électrique**,**E-Scooter** (electric scooter),,
segments,mode.Wheelchair,**Chaise roulante**,**Wheelchair**,,
segments,mode.MobilityScooter,**Quadriporteur/triporteur**,**Mobility scooter**,,
segments,mode.TransitRRT,**Métro**,**Metro** (subway),,
segments,mode.TransitLRRT,**REM**,**REM**,,
segments,mode.TransitRegionalRail,**Train de banlieue** (exo),**Commuter train** (exo),,
segments,mode.TransitStreetCar,**Tramway**,**Tram**,,
segments,mode.TransitBus,**Bus** (transport collectif),**Bus** (public transit),,
segments,mode.TransitTaxi,**Taxi collectif** / Transport à la demande,**Taxibus** / On-demand transport,,
segments,mode.IntercityBus,"**Bus interurbain** (Orléans, Kéolis, etc.)","**Intercity bus** (Orleans, Keolis, etc.)",,
segments,mode.SchoolBus,**Autobus scolaire** (jaune),**School bus** (yellow),,
segments,mode.OtherBus,**Bus nolisé** ou privé,**Chartered** or private **bus**,,
segments,mode.CarDriverRental,"**Voiture louée** (Hertz, Enterprise, Budget, Avis, etc.)","**Rental car** (Hertz, Enterprise, Budget, Avis, etc.)",,
segments,mode.CarDriver,"**Voiture personnelle** (appartenant à soi, un.e ami.e, la famille, etc.)","**Personal car** (can belong to self, friend, family, etc)",,
segments,mode.CarDriverCarsharing,**Autopartage** (ex. Communauto),**Carsharing** (ex. Communauto),,
segments,mode.Motorcycle,**Moto** (ou scooter),**Motorcycle** (or motorized scooter/moped),,
segments,mode.TransitFerry,**Traversier ou navette fluviale** sans véhicule,**Ferry or river shuttle** without vehicle,,
segments,mode.FerryWithCar,**Traversier avec véhicule**,**Ferry with vehicles**,,
segments,mode.IntercityTrain,**Train interurbain** (VIA Rail),**Intercity train** (VIA Rail),,
segments,mode.CarPassenger,**Passager** (voiture/moto/scooter),**Passenger** (car/motorcycle/moped),,
segments,mode.Paratransit,**Transport adapté**,**Paratransit**,,
segments,mode.Plane,**Avion**,**Airplane**,,
segments,mode.Other,**Autre**,**Other**,,
segments,mode.Taxi,**Taxi** ou équivalent (ex. Uber),**Taxi** or equivalent (eg. Uber),,
segments,mode.DontKnow,**Je ne sais pas** / Préfère ne pas répondre,**I don't know** / Prefer not to answer,,
segments,mode.short.Walk,Marche,Walking,,
segments,mode.short.Bicycle,Vélo,Bicycle,,
segments,mode.short.BicycleElectric,Vélo électrique,E-Bike (electric bicycle),,
segments,mode.short.KickScooterElectric,Trottinette électrique,E-Scooter (electric scooter),,
segments,mode.short.Wheelchair,Chaise roulante,Wheelchair,,
segments,mode.short.MobilityScooter,Quadriporteur/triporteur,Mobility scooter,,
segments,mode.short.TransitRRT,Métro,Metro (subway),,
segments,mode.short.TransitLRRT,REM,REM,,
segments,mode.short.TransitRegionalRail,Train de banlieue (exo),Commuter train (exo),,
segments,mode.short.TransitStreetCar,Tramway,Tram,,
segments,mode.short.TransitBus,Bus (transport collectif),Bus (public transit),,
segments,mode.short.TransitTaxi,Taxi collectif / Transport à la demande,Taxibus / On-demand transport,,
segments,mode.short.IntercityBus,Bus interurbain,Intercity bus,,
segments,mode.short.SchoolBus,Autobus scolaire (jaune),School bus (yellow),,
segments,mode.short.OtherBus,Bus nolisé ou privé,Chartered or private bus,,
segments,mode.short.CarDriverRental,Voiture louée,Rental car,,
segments,mode.short.CarDriver,Voiture personnelle,Personal car,,
segments,mode.short.CarDriverCarsharing,Autopartage,Carsharing,,
segments,mode.short.Motorcycle,Moto ou scooter,Motorcycle or moped,,
segments,mode.short.TransitFerry,Traversier ou navette fluviale sans véhicule,Ferry or river shuttle without vehicle,,
segments,mode.short.FerryWithCar,Traversier avec véhicule,Ferry with vehicles,,
segments,mode.short.IntercityTrain,Train interurbain,Intercity train,,
segments,mode.short.CarPassenger,Passager (voiture/moto/scooter),Passenger (car/motorcycle/moped),,
segments,mode.short.OtherActiveMode,"Autre mobilité active (course, trottinette, skateboard)","Other active modes (running, scooter, skateboard)",,
segments,mode.short.Paratransit,Transport adapté,Paratransit,,
segments,mode.short.Plane,Avion,Airplane,,
segments,mode.short.Other,Autre,Other,,
segments,mode.short.Taxi,Taxi ou équivalent (ex. Uber),Taxi or equivalent (eg. Uber),,
segments,mode.short.DontKnow,Je ne sais pas / Préfère ne pas répondre,I don't know / Prefer not to answer,,
